6,10
27,25
8,18
22,30
3,9
11,3
28,22
15,13
10,7
5,17
25,21
16,6
20,28
14,15
19,19
29,8
7,11
2,2
1,12
13,4
30,16
9,27
21,1
23,26
26,20
24,23
4,14
12,5
18,29
17,24
6,30
27,1
8,2
22,3
3,4
11,5
28,6
15,7
10,8
5,9
25,10
16,11
20,12
14,13
19,14
29,15
7,16
2,17
1,18
13,19
30,20
9,21
26,11
18,17
14,8
16,30
7,2
12,14
25,1
3,26
21,18
22,10
19,29
30,5
4,15
8,9
27,24
6,23
23,19
1,7
10,12
2,27
5,6
17,22
29,13
20,4
15,28
11,25
24,3
6,10
27,25
8,18
22,30
3,9
11,3
28,22
15,13
10,7
5,17
25,21
16,6
20,28
14,15
19,19
29,8
7,11
2,2
1,12
13,4
30,16
9,27
21,1
23,26
26,20
24,23
4,14
12,5
18,29
17,24
6,30
27,1
8,2
22,3
3,4
11,5
28,6
15,7
10,8
5,9
25,10
16,11
20,12
14,13
19,14
29,15
7,16
2,17
1,18
13,19
30,20
9,21
